0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
3013,2714,55,182,580,602,566,327,2,39,135,127,109,116,10,37,57,12,10,43,8,8,8,16,4,3,8,12,13,12,11,8,21,17,17,17,19,28,199,200,172,222,285,258,474,509,457,387,hand_press
3387,3056,40,177,635,655,630,501,31,89,192,185,153,148,10,52,78,73,70,55,30,39,49,59,24,37,5,31,31,36,37,31,13,10,18,10,11,16,119,120,103,133,171,155,310,305,274,232,hand_press
3090,2797,156,128,539,568,542,454,18,68,166,149,118,124,30,72,101,59,52,50,52,82,42,52,22,49,58,106,88,103,95,104,81,104,101,116,61,80,82,96,111,142,168,157,788,1241,1340,1359,hand_press
1854,1678,94,94,354,382,357,315,28,79,145,134,101,105,54,88,112,99,98,86,80,106,90,104,79,97,90,146,134,154,142,102,149,186,178,204,164,772,1296,1696,1704,1723,1738,1597,2110,2383,2442,2453,hand_press
1112,1007,56,62,236,261,250,233,63,64,111,112,83,88,39,95,99,110,94,98,80,114,114,112,66,92,54,136,138,158,137,118,139,164,169,205,207,607,943,1516,1810,2201,2681,2596,2904,3067,3103,3110,hand_press
667,604,90,37,145,164,151,140,37,41,72,89,52,52,71,93,96,97,83,91,48,68,68,69,39,57,32,81,83,101,85,85,142,157,157,173,162,432,848,1208,1355,1602,1899,1858,2129,2453,2653,3050,hand_press
400,362,54,22,87,98,90,84,28,24,43,53,31,31,42,56,58,58,50,54,28,41,41,41,23,34,19,49,50,60,51,51,85,94,115,130,102,278,826,1067,1094,1210,1372,1345,2026,2219,2204,2371,hand_press
240,217,32,13,52,59,54,50,17,14,26,32,18,19,25,33,34,35,30,32,17,24,24,24,14,20,11,29,30,36,30,30,51,56,69,78,61,167,496,640,656,726,823,816,1761,1881,1762,1858,hand_press
611,603,141,144,227,236,217,147,10,8,15,32,11,17,15,20,20,21,18,19,10,14,14,14,8,12,7,17,18,21,18,18,30,33,41,47,36,100,297,384,394,435,494,490,1056,1129,1057,1115,hand_press
1864,1700,256,304,527,546,457,427,23,5,37,19,6,10,9,12,12,18,10,11,6,8,8,8,5,7,4,10,10,13,11,11,18,20,24,28,22,60,210,230,236,261,296,294,634,677,634,669,hand_press
2688,2426,353,434,738,767,688,415,13,22,74,81,57,6,5,13,26,45,38,55,3,11,5,5,3,4,2,6,6,7,6,6,11,12,14,16,13,36,126,138,141,156,177,176,380,406,380,401,hand_press
2617,2386,214,299,634,656,597,401,54,85,127,148,115,87,61,86,101,51,25,33,49,81,67,78,56,37,63,91,87,58,24,6,152,174,142,38,101,528,841,965,937,883,777,697,228,243,258,299,hand_press
1805,1668,148,222,458,477,428,323,51,84,121,157,115,99,86,109,112,89,66,74,94,143,122,72,48,30,85,125,120,110,72,9,162,185,156,22,76,317,1160,1259,1478,1924,1843,1828,1774,1784,1793,1817,hand_press
1083,1000,89,133,275,286,256,194,30,60,72,115,73,69,97,139,127,116,84,81,83,133,118,94,62,51,84,84,95,98,71,5,167,194,170,97,163,566,1822,2393,2524,2792,2744,1864,1986,2119,2090,1447,hand_press
649,600,53,79,165,171,154,116,34,36,43,74,44,45,58,102,99,103,71,72,50,100,102,56,37,33,88,110,108,117,76,50,146,148,129,117,145,425,1606,1969,1970,2164,2573,1690,2017,2511,2584,2506,hand_press
389,360,32,68,122,132,107,69,20,21,35,57,26,27,35,61,59,78,45,58,30,60,74,64,22,19,53,102,104,121,92,56,88,95,90,97,107,300,1273,1512,1461,1572,1799,1276,1821,2141,2034,2055,hand_press
233,216,19,41,73,79,64,41,12,13,21,34,15,16,21,36,35,46,27,35,18,36,44,38,13,11,31,61,62,73,55,33,53,57,54,58,64,180,795,1058,1011,1113,1227,906,1782,1986,1773,1776,hand_press
1471,1331,11,24,109,135,107,107,7,7,12,20,9,9,12,22,21,28,16,21,10,21,26,23,8,7,19,36,37,43,33,20,31,34,32,35,38,108,477,634,606,667,736,543,1097,1351,1202,1229,hand_press
2429,2177,158,215,447,411,379,372,4,4,68,76,68,25,7,13,12,23,9,19,6,13,16,13,4,4,11,22,22,26,19,12,19,20,19,21,23,64,286,380,364,400,442,326,658,811,721,737,hand_press
3031,2726,95,168,550,539,500,454,2,2,86,101,93,71,4,7,15,13,5,17,3,7,9,8,2,2,6,13,13,15,11,7,11,12,11,12,13,38,171,228,218,240,265,195,394,486,433,442,hand_press
3437,3068,83,185,631,646,594,542,58,90,191,166,150,148,32,61,66,8,3,11,2,13,22,43,23,22,4,25,42,9,7,4,6,27,18,45,8,23,103,137,131,144,159,117,236,291,259,265,hand_press
3005,2707,87,136,543,569,521,492,66,111,200,171,147,140,49,90,102,82,62,7,59,89,85,117,89,108,49,86,93,19,18,27,84,76,71,27,5,13,309,340,287,314,286,264,752,780,647,511,hand_press
1803,1624,52,85,341,366,329,309,39,77,143,133,104,119,29,61,82,77,62,41,37,78,85,86,59,78,68,109,108,76,64,67,145,154,138,112,130,36,246,587,648,913,1279,945,1405,1710,2026,1214,hand_press
1081,974,31,70,239,266,235,219,23,76,112,131,101,74,17,37,49,52,37,25,48,92,95,115,75,104,91,84,90,90,73,86,112,139,130,141,173,155,277,898,1158,1627,2217,1746,2371,2664,2853,2366,hand_press
649,584,18,68,176,204,175,158,14,45,81,78,60,46,10,22,29,50,38,49,49,55,63,69,45,79,96,50,59,82,64,75,72,102,103,135,141,138,455,838,970,1252,1566,1295,1886,2321,2597,2646,hand_press
389,350,11,62,108,129,105,95,8,27,49,47,36,27,6,13,17,30,22,29,29,33,38,41,27,47,57,30,35,49,38,45,43,61,62,81,89,102,607,851,870,1011,1189,1034,1916,2177,2209,2181,hand_press
1541,1401,6,161,355,378,341,283,5,16,29,28,21,16,3,7,10,18,13,17,17,19,22,24,16,28,34,18,21,29,23,27,26,36,37,48,53,61,364,664,650,711,815,715,1709,1883,1803,1551,hand_press
2357,2127,117,244,546,572,539,427,3,9,20,42,24,28,2,4,6,10,8,10,10,11,13,14,9,17,20,11,12,17,13,16,15,22,22,29,32,36,218,398,390,426,489,429,1025,1130,1082,930,hand_press
2967,2691,134,262,652,695,664,601,53,52,113,132,110,79,1,14,36,56,42,31,6,7,8,8,5,10,72,6,14,30,8,9,9,13,13,17,19,22,178,239,234,256,293,257,615,678,649,558,hand_press
